geo_key,name,tot_pop_10,pc_wht_10,avg_huval,yrblt_mdn,crash,crm_prop,yrblt_mdn,pc_ov64_10,avg_stcnd,pc_un18_10,pc_fmwc_10,crm_pers,year
95,Mendota Hills Neighborhood Association,364,82.6,224143,1959,4,4,1959,16.6,5.5,17.7,21.8,0,2019
93,Nobel Park Neighborhood Association,353,72.2,174737,1955,18,8,1955,9.4,6.8,20.7,22.2,2,2019
87,North Lake Mendota Neighborhood Association,898,86.3,293917,1992,8,13,1992,8.8,6.9,15.1,27.2,0,2019
155,Greentree Neighborhood Association,1841,76.7,274005,1967,29,25,1967,15.0,6.3,22.7,29.7,2,2019
112,Heritage Heights Community Association,2240,89.9,247973,1975,22,35,1975,15.1,6.6,20.5,29.0,3,2019
103,Hawthorne Neighborhood Association,1090,66.0,167676,1955,72,58,1955,8.4,5.5,20.5,21.7,6,2019
161,Arbor Hills Neighborhood Association,1101,75.8,315004,1970,7,19,1970,18.3,5.8,20.2,24.7,3,2019
94,Berkley Oaks Neighborhood Association,1399,48.8,177007,1964,73,68,1964,10.6,6.3,27.1,24.8,15,2019
148,Bay Creek Neighborhood Association,2401,83.6,302968,1952,96,105,1952,11.1,5.8,14.8,15.7,9,2019
156,Capitol View Neighborhood Association,388,40.5,143031.0,1966,5,5,1966,5.9,6.2,29.5,28.8,4,2012
90,Bluff Acres Neighborhood Association,3725,67.6,176436.0,1981,73,143,1981,7.7,7.2,18.3,20.1,41,2012
95,Mendota Hills Neighborhood Association,364,82.6,176057.0,1959,3,5,1959,16.6,6.3,17.7,21.8,2,2012
140,Vilas Neighborhood Association,1881,90.8,434895.0,1918,23,63,1918,6.6,6.4,13.4,20.1,5,2012
102,Sheridan Triangle Neighborhood Association,340,91.9,148381.0,1947,3,8,1947,17.3,5.5,14.5,17.0,0,2012
159,Meadowood Neighborhood Association,2962,68.6,170035.0,1964,24,109,1964,12.6,7.3,25.3,29.7,36,2012
104,Burke Heights Neighborhood Association,607,67.3,161477.0,1973,29,116,1973,13.1,6.0,22.6,26.1,9,2012
171,Allied Dunn's Marsh Neighborhood Association,2157,33.9,128086.0,1964,63,153,1964,4.5,6.6,34.8,39.8,83,2012
97,Sherman Neighborhood Association,2695,72.4,145987.0,1953,114,166,1953,11.3,6.9,19.4,20.4,38,2012
125,Blackhawk Homeowners Association,2168,83.4,535821.0,2001,2,10,2001,5.3,7.3,29.3,37.4,0,2012
1,City of Madison,232626,75.6,234150.0,1972,11706,9822,1972,9.6,6.9,17.5,20.9,2186,2012
138,"Hill Farms, University Neighborhood Association",2942,76.4,285033.0,1960,27,41,1960,20.5,7.5,19.0,22.2,4,2012
98,Brentwood Village Association,1128,63.2,189105.0,1962,14,50,1962,14.9,6.8,20.7,22.4,14,2012
118,Wexford Village Homeowners Association,2506,84.3,295670.0,1992,24,23,1992,15.6,6.5,19.7,22.5,4,2012
94,Berkley Oaks Neighborhood Association,1399,48.8,135274.0,1966,37,74,1966,10.6,7.2,27.1,24.8,27,2012
89,Whitetail Ridge,499,76.2,174999.0,1995,2,12,1995,2.6,6.8,25.3,34.2,3,2012
151,Bram's Addition Neighborhood Association,1282,24.4,112920.0,1965,77,66,1965,8.5,7.6,30.9,31.0,45,2012
105,Eken Park Neighborhood Association,2505,78.3,136896.0,1948,76,98,1948,6.8,7.7,15.0,16.3,30,2012
161,Arbor Hills Neighborhood Association,1102,75.8,245922.0,1970,5,24,1970,18.3,6.7,20.2,24.7,5,2012
351,Rocky Bluff Neighborhood Association,1142,78.3,228614.0,1957,16,23,1957,6.7,6.3,10.6,12.5,4,2012
164,Westhaven Trails Homeowners Assoc,1956,66.2,191316.0,1990,10,44,1990,2.8,7.0,26.5,33.3,6,2012
100,Carpenter-Ridgeway Neighborhood Association,1016,66.4,149842.0,1967,59,163,1967,7.0,7.5,16.6,18.9,20,2012
128,Walnut Grove Homeowners Association,981,80.7,272194.0,1977,15,21,1977,15.4,5.3,21.3,28.6,1,2012
167,Country Grove Neighborhood Association,917,84.7,299766.0,1996,2,15,1996,5.6,7.1,31.9,44.8,0,2012
132,East Buckeye Neighborhood Association,2043,85.2,192460.0,1985,13,23,1985,5.8,6.5,23.0,32.9,6,2012
500,Dunn's Marsh Neighborhood Association,2157,33.9,128086.0,1964,63,153,1964,4.5,6.6,34.8,39.8,83,2012
142,Faircrest Neighborhood Association,1191,80.2,283064.0,1965,14,8,1965,15.7,6.5,19.5,25.2,2,2012
103,Hawthorne Neighborhood Association,1090,66.0,130841.0,1955,39,67,1955,8.4,6.8,20.5,21.7,22,2012
86,Westchester Gardens Neighborhood Association,1302,65.7,171046.0,1986,67,56,1986,4.2,7.3,24.8,31.0,29,2012
106,Emerson East Neighborhood Association,2042,83.9,167032.0,1925,156,117,1925,5.7,8.0,16.7,19.5,23,2012
93,Nobel Park Neighborhood Association,353,72.2,136268.0,1955,12,17,1955,9.4,8.6,20.7,22.2,1,2012
112,Heritage Heights Community Association,2240,89.9,190302.0,1975,10,25,1975,15.1,6.5,20.5,29.0,2,2012
133,Glen Oak Hills Neighborhood Association,844,87.7,185809.0,1956,5,19,1956,16.7,6.2,14.9,18.1,0,2012
84,Cherokee Park Neighborhood Association,1431,94.8,270423.0,1983,4,11,1983,35.1,6.5,9.0,9.4,1,2012
139,Glendale Neighborhood Association,2233,79.1,179014.0,1958,52,72,1958,16.4,5.5,19.8,24.7,30,2012
141,Greenbush Neighborhood Association,2879,88.8,243655.0,1918,67,135,1918,3.1,7.1,5.6,9.0,43,2012
107,Hiestand Neighborhood Association,3561,58.9,168118.0,1979,36,94,1979,10.7,6.5,25.2,32.3,25,2012
123,Lake Edge Neighborhood Association,2380,88.5,161903.0,1951,43,73,1951,12.9,4.7,18.0,21.7,11,2012
120,Richmond Hill Homeowners Association,395,85.3,342836.0,1997,2,5,1997,11.1,7.3,26.3,39.1,0,2012
135,Junction Ridge Neighborhood Association,1628,80.6,249431.0,1998,62,47,1998,30.9,7.1,10.5,10.3,3,2012
155,Greentree Neighborhood Association,1841,76.7,221014.0,1967,14,42,1967,15.0,7.2,22.7,29.7,12,2012
130,Wisconsin Co-op Housing Association,355,91.9,205973.0,1951,0,3,1951,16.2,6.0,21.2,28.3,0,2012
166,Glacier Ridge Neighborhood Association,1385,83.3,240105.0,2002,5,10,2002,2.7,7.5,27.9,39.7,0,2012
153,Burr Oaks Neighborhood Association,1744,20.1,156427.0,1962,155,130,1962,3.8,6.5,30.4,35.3,64,2012
91,Lake View Hill Neighborhood Association,1192,69.4,170915.0,1961,21,59,1961,12.9,6.8,22.0,26.1,15,2012
108,Worthington Park Neighborhood Association,701,30.7,119198.0,1959,17,34,1959,2.5,6.2,38.6,45.8,21,2012
